,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
448,9gag,"Mobile Engineer, iOS",Data Engineer,Hong Kong,3.1,1 to 50 Employees,,Company - Private,Motion Picture Production & Distribution,Media,HK$389K - HK$480K,389.0,480.0
449,ASM,Senior Platform Software Engineer/ Platform Software Engineer,Data Engineer,Hong Kong,3.2,10000+ Employees,1975,Company - Public,Industrial Manufacturing,Manufacturing,HK$274K - HK$374K,274.0,374.0
450,Pinpoint Asia,Network & IT Security Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$180K - HK$288K,180.0,288.0
451,9gag,"Mobile Engineer, Android",Data Engineer,Hong Kong,3.1,1 to 50 Employees,,Company - Private,Motion Picture Production & Distribution,Media,HK$389K - HK$480K,389.0,480.0
452,Spencer Ogden (Hong Kong) Limited,Design Engineer (Civil/Structural),Data Engineer,Hong Kong,4.0,201 to 500 Employees,2010,Company - Private,Energy,"Oil, Gas, Energy & Utilities",,,
453,Logistics and Supply Chain MultiTech R&D Centre Limited (LSCM),Software Engineer (Technology Development),Data Engineer,Hong Kong,4.0,51 to 200 Employees,,Government,,,HK$144K - HK$528K,144.0,528.0
454,Selby Jennings,Junior C++ Engineer,Data Engineer,Hong Kong,3.4,201 to 500 Employees,2004,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,,,
455,Global Executive Consultants,"Senior Network Engineer, Investment Banking (HK$55,000 - $68,000)",Data Engineer,Hong Kong,3.0,1 to 50 Employees,,Contract,,,HK$300K - HK$407K,300.0,407.0
456,Pinpoint Asia,Windows Platform Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
457,Links International,QA Engineer,Data Engineer,Hong Kong,4.1,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,HK$192K - HK$300K,192.0,300.0
458,Hip Hing Construction Co Ltd,Assistant Engineer,Data Engineer,Hong Kong,4.2,Unknown,,Company - Private,,,,,
459,Pinpoint Asia,UNIX (Nightshift) Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$312K - HK$408K,312.0,408.0
460,China State Construction Engineering (Hong Kong) Limited,Senior BIM Engineer / BIM Engineer / BIM Modeller,Data Engineer,Hong Kong,3.9,10000+ Employees,,Government,Construction,"Construction, Repair & Maintenance",,,
461,China State Construction Engineering (Hong Kong) Limited,Senior Building Services Engineer / Building Services Engineer,Data Engineer,Hong Kong,3.9,10000+ Employees,,Government,Construction,"Construction, Repair & Maintenance",,,
462,Welbot Technology Limited,Computer Vision Engineer / Algorithm Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
463,RecruitFirst Limited,Data Scientist (Premier Retail industry) (up to $35k),Data Engineer,Hong Kong,4.6,201 to 500 Employees,2013,Company - Public,,,HK$264K - HK$500K,264.0,500.0
464,Arup,Engineer/Project Engineer/Senior Engineer (BS/Electrical/Fire Services/Mechanical/P&D/Public Health),Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,,,
465,China State Construction Engineering (Hong Kong) Limited,Senior Structural Engineer / Structural Engineer - Building / Civil,Data Engineer,Hong Kong,3.9,10000+ Employees,,Government,Construction,"Construction, Repair & Maintenance",,,
466,Pinpoint Asia,Voice & Network Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
467,KOS International Limited,"Chief Data Architect - MNC, Digital Transformation",Data Engineer,Hong Kong,4.0,1 to 50 Employees,,Company - Private,,,,,
468,JLL,"Director, Data Centre Platform Leader – APAC/Engineering & Operations",Data Engineer,Hong Kong,3.9,10000+ Employees,,Company - Public,Real Estate,Real Estate,,,
469,Accedo,Graduate Trainee (Software Engineer - Android),Data Engineer,Hong Kong,4.0,501 to 1000 Employees,2004,Company - Private,IT Services,Information Technology,,,
470,The HK and China Gas Co Ltd,Assistant Engineer (Tai Po Plant),Data Engineer,Hong Kong,3.5,Unknown,,Company - Public,Wholesale,Business Services,,,
